pattern_family,frequency,current_axis,candidate_canonical,semantic_rationale,penalty_impact,decision,notes
standard_creation,12,Ownership;Repair,DEPRECATE,"Creating new standard — ambiguous valence (could be repair-exit or scope-evasion); no clean axis fit","none (deprecate)","none","LOW; semantically ambiguous; needs scenario-direction analysis to disambiguate; AL-2-C may revisit"
performance_blame,11,Accountability,MERGE_INTO=explanation_substitution,"Reframing behavioral truth as performance issue — accountability deflection mechanism","merged into accountability wiring (axis = accountability)","merged into existing canonical; no recalc","HIGH; production family validated (5 prod rows / 3 users); clear accountability-axis distortion"
integrity_compromise,10,Integrity,NEW_AXIS=integrity,"Compromising stated principle under pressure (knowing-doing gap) — distinct dimension from accountability or repair","new wiring (axis = integrity)","new wiring (axis 9/12); patternRequires 추가 영역","HIGH; production family validated (5 prod rows / 3 users); anchor for integrity axis (currently 0 wiring); absorbs integrity_alignment, insight_without_behavior, identity_commitment, silent_execution, exception_normalization, leader_variability, passive_trust, person_dependent_integrity, relationship_exception, drift_normalization, principle_without_constraint, selective_enforcement"
private_intention,10,Control;Time,MERGE_INTO=self_protection,"Public-private intent gap (covert distortion) — control-axis dimension","merged into control wiring (axis = control)","merged into NEW canonical (axis = control)","LOW; could alternatively map to explanation_substitution (covert vs overt) — control framing chosen for semantic distinctness; depends on NEW_AXIS=control adoption"
avoidance_behavior,9,belonging,MERGE_INTO=delegation_deflection,"Generic avoidance — defaults to conflict-axis distortion (same as conflict_avoidance cluster)","merged into conflict wiring (axis = conflict)","merged into existing canonical; no recalc","LOW; generic name; ideally scenario-author rename to specific mechanism"
blame_shift,8,Axis 9 — Accountability;Truth,MERGE_INTO=explanation_substitution,"Shifting blame as accountability deflection mechanism","merged into accountability wiring (axis = accountability)","merged into existing canonical; no recalc","HIGH; clean mechanism mapping"
system_exposure,8,Ownership;Truth,MERGE_INTO=truth_naming,"Exposing systemic truth — exit direction of truth dimension","merged into truth wiring (axis = truth)","merged into NEW canonical (axis = truth)","MEDIUM; depends on NEW_AXIS=truth adoption"
fairness_definition,7,truth,DEPRECATE,"Defining fairness narrative — meta/discourse family, no behavioral distortion","none (deprecate)","none","LOW; meta narrative"
blame_reversal,6,Conflict,MERGE_INTO=explanation_substitution,"Reversing blame — accountability deflection mechanism","merged into accountability wiring (axis = accountability)","merged into existing canonical; no recalc","MEDIUM; current_axis Conflict is empirical drift; semantic anchor is accountability"
boundary_reset,6,Repair,MERGE_INTO=repair_avoidance,"Resetting boundary — exit direction of repair dimension","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","MEDIUM; clean exit-direction pairing"
burnout_normalization,6,Time,MERGE_INTO=future_deferral,"Normalizing burnout to defer present action — time-axis distortion mechanism","merged into time wiring (axis = time)","merged into existing canonical; no recalc","MEDIUM"
emotional_release_loop,6,Comfort,DEPRECATE,"Emotional discharge cycle — comfort axis (no canonical); no clean behavioral distortion mapping","none (deprecate)","none","LOW; comfort axis is not in 12-dim AxisVector; AL-2-C may introduce or absorb"
growth_justification,6,scalability,MERGE_INTO=explanation_substitution,"Justifying via growth narrative — accountability deflection mechanism","merged into accountability wiring (axis = accountability)","merged into existing canonical; no recalc","MEDIUM"
hidden_resistance,6,Self-Protection,MERGE_INTO=self_protection,"Covert resistance to accountability/structure — control-axis dimension","merged into control wiring (axis = control)","merged into NEW canonical (axis = control)","MEDIUM; depends on NEW_AXIS=control adoption"
identity_commitment,6,Repair,MERGE_INTO=integrity_compromise,"Identity-aligned commitment — exit direction of integrity dimension","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption; current_axis literal Repair is empirical drift"
insight_without_behavior,6,Integrity,MERGE_INTO=integrity_compromise,"Insight without behavioral follow-through (knowing-doing gap) — prototypical integrity distortion","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","HIGH; depends on NEW_AXIS=integrity adoption; clean prototype of integrity entry direction"
over_ownership,6,Accountability,MERGE_INTO=ownership_escape,"Over-claiming ownership to mask system gaps — entry direction variant of escape (escape via inflation)","merged into ownership wiring (axis = ownership)","merged into ghost canonical","MEDIUM; clean dimension match (ownership-axis distortion via over-claim mechanism)"
self_protection,6,Control,NEW_AXIS=control,"Self-protection at cost of system truth — control-axis distortion (covert protective behavior)","new wiring (axis = control)","new wiring (axis 10/12); patternRequires 추가 영역","MEDIUM; anchor for control axis (currently 0 wiring); absorbs control_fixation, hidden_resistance, surface_compliance, temporary_compliance, private_intention, recentralized_control"
silence_avoidance,6,Conflict,MERGE_INTO=delegation_deflection,"Silent withdrawal as conflict avoidance","merged into conflict wiring (axis = conflict)","merged into existing canonical; no recalc","HIGH; clean conflict-axis mechanism"
silent_execution,6,Integrity,MERGE_INTO=integrity_compromise,"Executing without raising integrity concern — integrity entry direction","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
surface_compliance,6,Compliance,MERGE_INTO=self_protection,"Surface compliance with covert resistance — control-axis dimension","merged into control wiring (axis = control)","merged into NEW canonical (axis = control)","MEDIUM; depends on NEW_AXIS=control adoption"
temporary_compliance,6,System,MERGE_INTO=self_protection,"Temporary surface compliance — control-axis dimension","merged into control wiring (axis = control)","merged into NEW canonical (axis = control)","MEDIUM; depends on NEW_AXIS=control adoption"
system_adaptation,5,belonging,DEPRECATE,"Adaptive belonging narrative — positive valence, no behavioral distortion","none (deprecate)","none","LOW; meta narrative; belonging axis is not in 12-dim AxisVector"
authority_exercise,4,Authority,MERGE_INTO=authority_protection,"Authority exercise — same dimension as authority protection","merged into authority wiring (axis = authority)","merged into NEW canonical (axis = authority)","MEDIUM; depends on NEW_AXIS=authority adoption"
authority_preservation,4,integrity,MERGE_INTO=authority_protection,"Preserving authority — same dimension as authority protection","merged into authority wiring (axis = authority)","merged into NEW canonical (axis = authority)","HIGH; depends on NEW_AXIS=authority adoption; current_axis literal integrity is empirical drift"
closure_rush,4,system_identity,MERGE_INTO=future_deferral,"Rushing closure to avoid sustained accountability — time-axis distortion (collapse direction, opposite of deferral but same dimension)","merged into time wiring (axis = time)","merged into existing canonical; no recalc","LOW; could alternatively map to integrity_compromise (premature closure as principle compromise); time framing chosen for axis-dimension cleanness"
control_fixation,4,Control,MERGE_INTO=self_protection,"Fixation on control — control-axis distortion","merged into control wiring (axis = control)","merged into NEW canonical (axis = control)","MEDIUM; depends on NEW_AXIS=control adoption"
emotional_bypass,4,Comfort,DEPRECATE,"Emotional discharge — comfort axis (no canonical); pairs with emotional_release_loop","none (deprecate)","none","LOW; comfort axis is not in 12-dim AxisVector"
exception_normalization,4,scalability,MERGE_INTO=integrity_compromise,"Normalizing exception as integrity compromise","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
group_conformity,4,belonging,MERGE_INTO=reputation_protection,"Conforming for group belonging — visibility-axis dimension (image management for group)","merged into visibility wiring (axis = visibility)","merged into NEW canonical (axis = visibility)","LOW; depends on NEW_AXIS=visibility adoption; could alternatively go to control axis"
instruction_based_handoff,4,transferability,DEPRECATE,"Handoff narrative — transferability dimension; no axis fit","none (deprecate)","none","LOW; meta narrative; transferability not in 12-dim AxisVector"
leader_variability,4,integrity,MERGE_INTO=integrity_compromise,"Leader inconsistency = integrity compromise","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
localized_system,4,consistency,DEPRECATE,"Localized system narrative — meta family; no axis fit","none (deprecate)","none","LOW; meta narrative; consistency not in 12-dim AxisVector"
ownership_transfer,4,integrity,MERGE_INTO=ownership_escape,"Transferring ownership — entry direction variant (escape via transfer mechanism)","merged into ownership wiring (axis = ownership)","merged into ghost canonical","MEDIUM; current_axis integrity is empirical drift"
passive_trust,4,integrity,MERGE_INTO=integrity_compromise,"Passive trust without verification = integrity gap","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
pattern_capture,4,awareness,DEPRECATE,"Awareness/meta family — exit/positive valence, no distortion","none (deprecate)","none","LOW; meta narrative; awareness not in 12-dim AxisVector"
person_dependent_integrity,4,integrity,MERGE_INTO=integrity_compromise,"Integrity dependent on person rather than system — integrity entry direction","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
reality_distortion,4,belonging;truth,MERGE_INTO=truth_naming,"Distorting behavioral reality — truth-axis entry direction (active distortion)","merged into truth wiring (axis = truth)","merged into NEW canonical (axis = truth)","HIGH; depends on NEW_AXIS=truth adoption; clean entry-direction prototype"
relationship_buffer,4,integrity,DEPRECATE,"Relationship buffer narrative — meta family; no clean axis","none (deprecate)","none","LOW; meta narrative"
relationship_exception,4,system_identity,MERGE_INTO=integrity_compromise,"Making relational exception to system rule — integrity entry direction","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
silence_normalization,4,belonging,MERGE_INTO=delegation_deflection,"Normalizing silence as conflict avoidance","merged into conflict wiring (axis = conflict)","merged into existing canonical; no recalc","HIGH; clean conflict-axis mechanism"
standard_enforcement,4,integrity,DEPRECATE,"Enforcing standard — exit/positive direction; no penalty target","none (deprecate)","none","LOW; positive direction; could MERGE_INTO=integrity_compromise as exit but exit-direction merging adds noise to fingerprint hash; defer"
successor_assumption,4,transferability,DEPRECATE,"Successor narrative — transferability dimension; no axis fit","none (deprecate)","none","LOW; meta narrative"
adaptive_alignment,3,belonging;truth,DEPRECATE,"Belonging adaptation narrative — no clean axis","none (deprecate)","none","LOW; meta narrative; only family with lowercase 'belonging' literal in scenario JSON (Layer 3 outlier per lineage doc)"
compensation_loop,3,System,MERGE_INTO=repair_avoidance,"Compensating without repair = repair-axis distortion mechanism","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","MEDIUM"
leader_protection,3,correction,MERGE_INTO=authority_protection,"Protecting leader = authority axis","merged into authority wiring (axis = authority)","merged into NEW canonical (axis = authority)","MEDIUM; depends on NEW_AXIS=authority adoption"
truth_recognition,3,awareness;truth,MERGE_INTO=truth_naming,"Recognizing truth — exit direction of truth dimension","merged into truth wiring (axis = truth)","merged into NEW canonical (axis = truth)","MEDIUM; depends on NEW_AXIS=truth adoption"
accountability_application,2,integrity,MERGE_INTO=explanation_substitution,"Accountability application — exit direction of accountability dimension","merged into accountability wiring (axis = accountability)","merged into existing canonical; no recalc","LOW; current_axis literal integrity is empirical drift"
active_verification,2,integrity,DEPRECATE,"Verification narrative — exit/positive valence meta family","none (deprecate)","none","LOW; meta narrative"
authority_constraint,2,integrity,MERGE_INTO=authority_protection,"Authority constraint dimension","merged into authority wiring (axis = authority)","merged into NEW canonical (axis = authority)","MEDIUM; depends on NEW_AXIS=authority adoption"
constraint_definition,2,integrity,DEPRECATE,"Constraint definition — meta family","none (deprecate)","none","LOW; meta narrative"
controlled_scaling,2,integrity,DEPRECATE,"Scaling narrative — no axis fit","none (deprecate)","none","LOW; meta narrative"
correction_avoidance,2,correction,MERGE_INTO=repair_avoidance,"Avoiding correction = repair-axis distortion","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","HIGH; clean repair-axis mechanism"
documentation_without_ownership,2,transferability,MERGE_INTO=ownership_escape,"Documentation as ownership substitute — entry direction (escape via documentation)","merged into ownership wiring (axis = ownership)","merged into ghost canonical","MEDIUM"
drift_detection,2,integrity,DEPRECATE,"Drift awareness — exit/positive valence meta","none (deprecate)","none","LOW; meta narrative"
drift_normalization,2,consistency,MERGE_INTO=integrity_compromise,"Normalizing drift = integrity compromise","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
equal_application,2,integrity,DEPRECATE,"Equal application narrative — exit/positive valence","none (deprecate)","none","LOW; meta narrative"
observed_handoff,2,integrity,DEPRECATE,"Handoff narrative — transferability dimension","none (deprecate)","none","LOW; meta narrative"
pattern_ownership,2,integrity,DEPRECATE,"Pattern ownership — meta family","none (deprecate)","none","LOW; meta narrative"
pressure_tested_successor_alignment,2,integrity,DEPRECATE,"Successor narrative — transferability dimension","none (deprecate)","none","LOW; meta narrative"
principle_with_constraint,2,integrity,DEPRECATE,"Principle-constraint narrative — exit direction; meta","none (deprecate)","none","LOW; could MERGE_INTO=integrity_compromise as exit but defer"
principle_without_constraint,2,system_identity,MERGE_INTO=integrity_compromise,"Principle without enforcement = integrity gap","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
rationalization,2,belonging,MERGE_INTO=explanation_substitution,"Rationalization = explanation substitution mechanism","merged into accountability wiring (axis = accountability)","merged into existing canonical; no recalc","HIGH; clean accountability-axis mechanism; current_axis literal belonging is empirical drift"
reality_reclaiming,2,truth,MERGE_INTO=truth_naming,"Reclaiming behavioral reality — exit direction of truth dimension","merged into truth wiring (axis = truth)","merged into NEW canonical (axis = truth)","MEDIUM; depends on NEW_AXIS=truth adoption"
recentralized_control,2,integrity;self_correction,MERGE_INTO=self_protection,"Recentralizing control — control-axis distortion","merged into control wiring (axis = control)","merged into NEW canonical (axis = control)","MEDIUM; depends on NEW_AXIS=control adoption"
repair_avoidance,2,Conflict,repair_avoidance,"Avoiding restoration after rupture","high (penalty wiring axis = repair)","anchor (no recalc); 5 canonical preserved","HIGH; canonical 5 anchor (preserved); wired via TII→repair; low scenario freq but high archetype salience (STILLWATER cutoff)"
role_ownership,2,truth,MERGE_INTO=ownership_escape,"Role ownership dimension — exit direction","merged into ownership wiring (axis = ownership)","merged into ghost canonical","MEDIUM"
scaling_control,2,integrity,DEPRECATE,"Scaling/control narrative — meta","none (deprecate)","none","LOW; meta narrative"
selective_enforcement,2,belonging,MERGE_INTO=integrity_compromise,"Selective enforcement = integrity violation (entry direction)","merged into integrity wiring (axis = integrity)","merged into NEW canonical (axis = integrity)","MEDIUM; depends on NEW_AXIS=integrity adoption"
self_correction_protocol,2,integrity,DEPRECATE,"Self-correction narrative — exit/positive valence","none (deprecate)","none","LOW; meta narrative"
stability_preservation,2,self_correction,MERGE_INTO=delegation_deflection,"Preserving surface stability = conflict avoidance mechanism","merged into conflict wiring (axis = conflict)","merged into existing canonical; no recalc","MEDIUM"
successor_ownership_mechanism,2,integrity,DEPRECATE,"Successor mechanism narrative — transferability","none (deprecate)","none","LOW; meta narrative"
successor_protection,2,self_correction,MERGE_INTO=authority_protection,"Protecting successor authority position","merged into authority wiring (axis = authority)","merged into NEW canonical (axis = authority)","LOW; depends on NEW_AXIS=authority adoption"
system_constraint,2,integrity,DEPRECATE,"System constraint narrative — meta","none (deprecate)","none","LOW; meta narrative"
system_defensiveness,2,integrity,MERGE_INTO=authority_protection,"System defensiveness = authority protection mechanism","merged into authority wiring (axis = authority)","merged into NEW canonical (axis = authority)","LOW; depends on NEW_AXIS=authority adoption"
system_independence,2,transferability,DEPRECATE,"System independence narrative — meta","none (deprecate)","none","LOW; meta narrative"
system_reinforcement,2,integrity,DEPRECATE,"System reinforcement narrative — meta","none (deprecate)","none","LOW; meta narrative"
system_reliability,2,integrity,DEPRECATE,"Reliability narrative — meta","none (deprecate)","none","LOW; meta narrative"
truth_entry,2,truth,MERGE_INTO=truth_naming,"Truth entry — entry direction of truth dimension (literal directional name)","merged into truth wiring (axis = truth)","merged into NEW canonical (axis = truth)","HIGH; depends on NEW_AXIS=truth adoption; literal direction-name; flag for AL-2-B normalize alias"
truth_expression,2,truth,MERGE_INTO=truth_naming,"Truth expression — exit direction of truth dimension (literal directional name)","merged into truth wiring (axis = truth)","merged into NEW canonical (axis = truth)","HIGH; depends on NEW_AXIS=truth adoption; literal direction-name; flag for AL-2-B normalize alias"
boundary_definition,1,integrity,MERGE_INTO=repair_avoidance,"Defining boundary — repair-dimension exit","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","LOW"
decentralized_correction,1,integrity,DEPRECATE,"Decentralized correction narrative — meta","none (deprecate)","none","LOW; meta narrative"
distortion_identification,1,integrity,MERGE_INTO=truth_naming,"Identifying distortion = truth naming exit direction","merged into truth wiring (axis = truth)","merged into NEW canonical (axis = truth)","MEDIUM; depends on NEW_AXIS=truth adoption"
internalization,1,belonging,DEPRECATE,"Internalization narrative — meta","none (deprecate)","none","LOW; meta narrative"
misuse_correction,1,integrity,MERGE_INTO=repair_avoidance,"Correcting misuse = repair-dimension exit","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","LOW"
ownership_avoidance,1,Control,MERGE_INTO=ownership_escape,"Direct synonym of ownership_escape","merged into ownership wiring (axis = ownership)","merged into ghost canonical","HIGH; literal alias; flag for AL-2-B normalize alias"
pattern_structuring,1,truth,DEPRECATE,"Pattern structuring narrative — exit/positive valence meta","none (deprecate)","none","LOW; meta narrative"
re_engagement,1,truth,MERGE_INTO=repair_avoidance,"Re-engagement = repair-dimension exit","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","LOW"
relationally_held_correction,1,integrity,DEPRECATE,"Correction narrative — meta","none (deprecate)","none","LOW; meta narrative"
silence_alignment,1,belonging,MERGE_INTO=delegation_deflection,"Silent alignment = conflict avoidance","merged into conflict wiring (axis = conflict)","merged into existing canonical; no recalc","MEDIUM"
standard_separation,1,truth,DEPRECATE,"Standard separation narrative — meta","none (deprecate)","none","LOW; meta narrative"
symbolic_correction,1,self_correction,DEPRECATE,"Symbolic correction — performative; no behavioral distortion","none (deprecate)","none","LOW; meta narrative"
system_feedback_loop,1,integrity,DEPRECATE,"Feedback loop narrative — meta","none (deprecate)","none","LOW; meta narrative"
system_humility,1,correction,DEPRECATE,"Humility narrative — exit/positive valence","none (deprecate)","none","LOW; meta narrative"
visible_correction,1,integrity,MERGE_INTO=repair_avoidance,"Visible correction = repair-dimension exit","merged into repair wiring (axis = repair)","merged into existing canonical; no recalc","LOW"
