pattern_family,frequency,scenario_files,scenario_sample,scenario_axis_literal,runtime_prod_usage,canonical_member,compat_map_key,compat_map_value,penalty_wiring_axis
system_constraint,2,2,core_18_identity_integrity_choice,integrity,no,false,false,,
system_defensiveness,2,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
system_independence,2,2,core_20_unquestioned_decision,transferability,no,false,false,,
system_reinforcement,2,2,core_19_authority_signal,integrity,no,false,false,,
system_reliability,2,2,core_22_assistant_truth_block,integrity,no,false,false,,
truth_entry,2,2,core_12_silence_normalization,truth,no,false,false,,
truth_expression,2,2,core_12_silence_normalization,truth,no,false,false,,
boundary_definition,1,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
decentralized_correction,1,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
distortion_identification,1,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
internalization,1,1,core_11_selective_standard_escalation,belonging,no,false,false,,
misuse_correction,1,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
ownership_avoidance,1,1,core_01_training_system_exposure,Control,no,false,false,,
pattern_structuring,1,1,core_11_selective_standard_escalation,truth,no,false,false,,
re_engagement,1,1,core_11_selective_standard_escalation,truth,no,false,false,,
relationally_held_correction,1,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
silence_alignment,1,1,core_10_integrity_favoritism_signal,belonging,no,false,false,,
standard_separation,1,1,core_11_selective_standard_escalation,truth,no,false,false,,
symbolic_correction,1,1,core_21_silence_under_hierarchy,self_correction,no,false,false,,
system_feedback_loop,1,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
system_humility,1,1,core_21_silence_under_hierarchy,correction,no,false,false,,
visible_correction,1,1,core_21_silence_under_hierarchy,integrity,no,false,false,,
